,v2a1,rooms,v18q,v18q1,r4h1,r4h2,r4h3,r4m1,r4m2,r4m3,r4t1,r4t2,r4t3,tamhog,tamviv,escolari,rez_esc,hhsize,paredblolad,pisomoscer,pisocemento,cielorazo,sanitario2,sanitario3,energcocinar2,energcocinar3,epared2,epared3,etecho2,etecho3,eviv2,eviv3,male,female,estadocivil3,estadocivil7,parentesco1,parentesco3,hogar_nin,hogar_adul,hogar_mayor,hogar_total,dependency,edjefe,edjefa,meaneduc,instlevel3,bedrooms,overcrowding,tipovivi1,television,qmobilephone,lugar1,area1,area2,age,SQBescolari,SQBage,SQBhogar_total,SQBedjefe,SQBhogar_nin,SQBovercrowding,SQBdependency,SQBmeaned,agesq
18,90000.0,2,0,,0,2,2,0,2,2,0,4,4,4,4,10,,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,2,2,1,4,3.0,0.0,10.0,17.0,0,1,4.0,0,0,1,1,1,0,50,100,2500,16,0,4,16.0,9.0,289.0,2500
19,215000.0,4,0,,0,1,1,0,1,1,0,2,2,2,2,12,,2,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,2,0,2,0.0,15.0,0.0,13.5,0,2,1.0,0,0,2,1,1,0,22,144,484,4,225,0,1.0,0.0,182.25,484
20,215000.0,4,0,,0,1,1,0,1,1,0,2,2,2,2,15,,2,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,2,0,2,0.0,15.0,0.0,13.5,0,2,1.0,0,0,2,1,1,0,26,225,676,4,225,0,1.0,0.0,182.25,676
21,150000.0,3,0,,0,1,1,0,1,1,0,2,2,2,2,4,,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,2,2,8.0,4.0,0.0,10.0,0,1,2.0,0,0,1,1,1,0,69,16,4761,4,16,0,4.0,64.0,100.0,4761
22,150000.0,3,0,,0,1,1,0,1,1,0,2,2,2,2,16,,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,2,8.0,4.0,0.0,10.0,0,1,2.0,0,0,1,1,1,0,66,256,4356,4,16,0,4.0,64.0,100.0,4356
23,100000.0,1,0,,0,2,2,0,1,1,0,3,3,3,3,6,,3,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,3,0,3,0.0,6.0,0.0,10.333333,1,1,3.0,0,0,3,1,1,0,41,36,1681,9,36,0,9.0,0.0,106.77777,1681
24,100000.0,1,0,,0,2,2,0,1,1,0,3,3,3,3,13,,3,1,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,3,0,3,0.0,6.0,0.0,10.333333,0,1,3.0,0,0,3,1,1,0,20,169,400,9,36,0,9.0,0.0,106.77777,400
25,100000.0,1,0,,0,2,2,0,1,1,0,3,3,3,3,12,,3,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,3,0,3,0.0,6.0,0.0,10.333333,0,1,3.0,0,0,3,1,1,0,40,144,1600,9,36,0,9.0,0.0,106.77777,1600
26,,5,0,,0,1,1,0,0,0,0,1,1,1,1,15,,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0.0,15.0,0.0,15.0,0,2,0.5,1,0,2,1,1,0,44,225,1936,1,225,0,0.25,0.0,225.0,1936
27,120000.0,4,1,1.0,0,2,2,0,1,1,0,3,3,3,3,6,,3,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,3,1,3,0.5,6.0,0.0,6.666666499999999,1,2,1.5,0,1,3,1,1,0,69,36,4761,9,36,0,2.25,0.25,44.444443,4761
28,120000.0,4,1,1.0,0,2,2,0,1,1,0,3,3,3,3,6,,3,1,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,3,1,3,0.5,6.0,0.0,6.666666499999999,1,2,1.5,0,1,3,1,1,0,62,36,3844,9,36,0,2.25,0.25,44.444443,3844
29,120000.0,4,1,1.0,0,2,2,0,1,1,0,3,3,3,3,8,,3,1,1,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,3,1,3,0.5,6.0,0.0,6.666666499999999,0,2,1.5,0,1,3,1,1,0,33,64,1089,9,36,0,2.25,0.25,44.444443,1089
30,100000.0,5,0,,0,1,1,0,1,1,0,2,2,2,2,8,,2,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,2,0,2,0.0,8.0,0.0,9.5,0,2,1.0,0,0,2,1,1,0,35,64,1225,4,64,0,1.0,0.0,90.25,1225
31,100000.0,5,0,,0,1,1,0,1,1,0,2,2,2,2,11,,2,1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,2,0,2,0.0,8.0,0.0,9.5,0,2,1.0,0,0,2,1,1,0,28,121,784,4,64,0,1.0,0.0,90.25,784
32,,5,0,,0,4,4,0,1,1,0,5,5,5,5,1,,5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,4,0,5,0.25,11.0,0.0,5.25,0,3,1.6666666,1,0,3,1,1,0,28,1,784,25,121,1,2.7777777,0.0625,27.5625,784
33,,5,0,,0,4,4,0,1,1,0,5,5,5,5,11,,5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,1,4,0,5,0.25,11.0,0.0,5.25,0,3,1.6666666,1,0,3,1,1,0,56,121,3136,25,121,1,2.7777777,0.0625,27.5625,3136
34,,5,0,,0,4,4,0,1,1,0,5,5,5,5,6,,5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,1,4,0,5,0.25,11.0,0.0,5.25,1,3,1.6666666,1,0,3,1,1,0,30,36,900,25,121,1,2.7777777,0.0625,27.5625,900
35,,5,0,,0,4,4,0,1,1,0,5,5,5,5,0,,5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,4,0,5,0.25,11.0,0.0,5.25,0,3,1.6666666,1,0,3,1,1,0,19,0,361,25,121,1,2.7777777,0.0625,27.5625,361
36,,5,0,,0,4,4,0,1,1,0,5,5,5,5,3,,5,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,4,0,5,0.25,11.0,0.0,5.25,0,3,1.6666666,1,0,3,1,1,0,52,9,2704,25,121,1,2.7777777,0.0625,27.5625,2704
37,80000.0,4,0,,0,2,2,0,1,1,0,3,3,3,3,6,,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,3,0.5,8.0,0.0,7.0,1,2,1.5,0,0,2,1,1,0,36,36,1296,9,64,1,2.25,0.25,49.0,1296
38,80000.0,4,0,,0,2,2,0,1,1,0,3,3,3,3,8,0.0,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1,2,0,3,0.5,8.0,0.0,7.0,0,2,1.5,0,0,2,1,1,0,15,64,225,9,64,1,2.25,0.25,49.0,225
39,80000.0,4,0,,0,2,2,0,1,1,0,3,3,3,3,8,,3,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2,0,3,0.5,8.0,0.0,7.0,0,2,1.5,0,0,2,1,1,0,37,64,1369,9,64,1,2.25,0.25,49.0,1369
40,90000.0,5,1,1.0,0,1,1,0,1,1,0,2,2,2,2,9,,2,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,2,0,2,0.0,0.0,9.0,11.0,0,2,1.0,0,0,2,1,1,0,44,81,1936,4,0,0,1.0,0.0,121.0,1936
41,90000.0,5,1,1.0,0,1,1,0,1,1,0,2,2,2,2,13,,2,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,2,0,2,0.0,0.0,9.0,11.0,0,2,1.0,0,0,2,1,1,0,24,169,576,4,0,0,1.0,0.0,121.0,576
42,,8,1,1.0,0,2,2,0,1,1,0,3,3,3,3,8,0.0,3,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,2,1,3,2.0,0.0,15.0,15.5,0,3,1.0,1,0,3,1,1,0,15,64,225,9,0,1,1.0,4.0,240.25,225
43,,8,1,1.0,0,2,2,0,1,1,0,3,3,3,3,15,,3,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,2,1,3,2.0,0.0,15.0,15.5,0,3,1.0,1,0,3,1,1,0,76,225,5776,9,0,1,1.0,4.0,240.25,5776
44,,8,1,1.0,0,2,2,0,1,1,0,3,3,3,3,16,,3,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,2,1,3,2.0,0.0,15.0,15.5,0,3,1.0,1,0,3,1,1,0,44,256,1936,9,0,1,1.0,4.0,240.25,1936
45,,4,0,,0,1,1,0,1,1,0,2,2,2,2,17,,2,0,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,2,2,2,8.0,17.0,0.0,10.0,0,2,1.0,1,0,1,1,1,0,69,289,4761,4,289,0,1.0,64.0,100.0,4761
46,,4,0,,0,1,1,0,1,1,0,2,2,2,2,3,,2,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,2,2,2,8.0,17.0,0.0,10.0,0,2,1.0,1,0,1,1,1,0,94,9,8836,4,289,0,1.0,64.0,100.0,8836
47,,5,1,1.0,0,1,1,1,1,2,1,2,3,3,3,16,,3,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,2,0,3,0.5,11.0,0.0,13.5,0,2,1.5,1,0,2,1,1,0,45,256,2025,9,121,1,2.25,0.25,182.25,2025
48,,5,1,1.0,0,1,1,1,1,2,1,2,3,3,3,2,0.0,3,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,2,0,3,0.5,11.0,0.0,13.5,0,2,1.5,1,0,2,1,1,0,8,4,64,9,121,1,2.25,0.25,182.25,64
49,,5,1,1.0,0,1,1,1,1,2,1,2,3,3,3,11,,3,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,2,0,3,0.5,11.0,0.0,13.5,0,2,1.5,1,0,2,1,1,0,48,121,2304,9,121,1,2.25,0.25,182.25,2304
50,120000.0,5,0,,0,1,1,1,2,3,1,3,4,4,4,2,0.0,4,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,2,2,0,4,1.0,11.0,0.0,11.0,0,2,2.0,0,0,2,1,1,0,8,4,64,16,121,4,4.0,1.0,121.0,64
51,120000.0,5,0,,0,1,1,1,2,3,1,3,4,4,4,11,,4,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,2,2,0,4,1.0,11.0,0.0,11.0,0,2,2.0,0,0,2,1,1,0,44,121,1936,16,121,4,4.0,1.0,121.0,1936
52,120000.0,5,0,,0,1,1,1,2,3,1,3,4,4,4,8,0.0,4,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,2,2,0,4,1.0,11.0,0.0,11.0,0,2,2.0,0,0,2,1,1,0,14,64,196,16,121,4,4.0,1.0,121.0,196
53,120000.0,5,0,,0,1,1,1,2,3,1,3,4,4,4,11,,4,0,0,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,2,2,0,4,1.0,11.0,0.0,11.0,0,2,2.0,0,0,2,1,1,0,42,121,1764,16,121,4,4.0,1.0,121.0,1764
54,168000.0,5,0,,1,1,2,0,2,2,1,3,4,4,4,6,0.0,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,2,2,0,4,1.0,0.0,7.0,9.0,1,3,1.3333334,0,0,2,1,1,0,13,36,169,16,0,4,1.7777778999999998,1.0,81.0,169
55,168000.0,5,0,,1,1,2,0,2,2,1,3,4,4,4,2,1.0,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,2,2,0,4,1.0,0.0,7.0,9.0,0,3,1.3333334,0,0,2,1,1,0,10,4,100,16,0,4,1.7777778999999998,1.0,81.0,100
56,168000.0,5,0,,1,1,2,0,2,2,1,3,4,4,4,7,,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,2,2,0,4,1.0,0.0,7.0,9.0,0,3,1.3333334,0,0,2,1,1,0,37,49,1369,16,0,4,1.7777778999999998,1.0,81.0,1369
57,168000.0,5,0,,1,1,2,0,2,2,1,3,4,4,4,11,,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,0,0,2,2,0,4,1.0,0.0,7.0,9.0,0,3,1.3333334,0,0,2,1,1,0,36,121,1296,16,0,4,1.7777778999999998,1.0,81.0,1296
58,40000.0,1,0,,0,1,1,0,0,0,0,1,1,1,1,7,,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,8.0,7.0,0.0,7.0,0,1,1.0,0,0,0,1,1,0,71,49,5041,1,49,0,1.0,64.0,49.0,5041
59,155000.0,3,0,,0,1,1,0,1,1,0,2,2,2,2,14,,2,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,2,0,2,0.0,0.0,14.0,10.0,0,1,2.0,0,1,2,1,1,0,30,196,900,4,0,0,4.0,0.0,100.0,900
60,155000.0,3,0,,0,1,1,0,1,1,0,2,2,2,2,6,,2,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,0,2,0.0,0.0,14.0,10.0,1,1,2.0,0,1,2,1,1,0,29,36,841,4,0,0,4.0,0.0,100.0,841
61,,6,1,2.0,0,2,2,0,1,1,0,3,3,3,3,14,,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,3,1,3,0.5,0.0,14.0,13.0,0,3,1.0,1,1,3,1,1,0,55,196,3025,9,0,0,1.0,0.25,169.0,3025
62,,6,1,2.0,0,2,2,0,1,1,0,3,3,3,3,11,,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,3,1,3,0.5,0.0,14.0,13.0,0,3,1.0,1,1,3,1,1,0,70,121,4900,9,0,0,1.0,0.25,169.0,4900
63,,6,1,2.0,0,2,2,0,1,1,0,3,3,3,3,14,,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,3,1,3,0.5,0.0,14.0,13.0,0,3,1.0,1,1,3,1,1,0,26,196,676,9,0,0,1.0,0.25,169.0,676
64,,6,0,,0,0,0,0,1,1,0,1,1,1,1,9,,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,8.0,0.0,9.0,9.0,0,3,0.33333334,1,0,1,1,1,0,71,81,5041,1,0,0,0.11111112,64.0,81.0,5041
65,200000.0,3,0,,1,1,2,1,2,3,2,3,5,5,5,9,,5,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,2,3,0,5,0.6666666933333327,9.0,0.0,9.0,0,2,2.5,0,0,5,1,1,0,30,81,900,25,81,4,6.25,0.44444448,81.0,900
66,200000.0,3,0,,1,1,2,1,2,3,2,3,5,5,5,5,0.0,5,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,2,3,0,5,0.6666666933333327,9.0,0.0,9.0,0,2,2.5,0,0,5,1,1,0,11,25,121,25,81,4,6.25,0.44444448,81.0,121
67,200000.0,3,0,,1,1,2,1,2,3,2,3,5,5,5,0,,5,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,2,3,0,5,0.6666666933333327,9.0,0.0,9.0,0,2,2.5,0,0,5,1,1,0,1,0,1,25,81,4,6.25,0.44444448,81.0,1
68,200000.0,3,0,,1,1,2,1,2,3,2,3,5,5,5,9,,5,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,2,3,0,5,0.6666666933333327,9.0,0.0,9.0,0,2,2.5,0,0,5,1,1,0,29,81,841,25,81,4,6.25,0.44444448,81.0,841
69,200000.0,3,0,,1,1,2,1,2,3,2,3,5,5,5,9,,5,1,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0,2,3,0,5,0.6666666933333327,9.0,0.0,9.0,0,2,2.5,0,0,5,1,1,0,60,81,3600,25,81,4,6.25,0.44444448,81.0,3600
70,,6,0,,1,1,2,0,2,2,1,3,4,4,4,0,0.0,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,3,1,4,1.0,15.0,0.0,14.0,0,2,2.0,1,1,2,1,1,0,7,0,49,16,225,1,4.0,1.0,196.0,49
71,,6,0,,1,1,2,0,2,2,1,3,4,4,4,15,,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,3,1,4,1.0,15.0,0.0,14.0,0,2,2.0,1,1,2,1,1,0,40,225,1600,16,225,1,4.0,1.0,196.0,1600
72,,6,0,,1,1,2,0,2,2,1,3,4,4,4,15,,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,3,1,4,1.0,15.0,0.0,14.0,0,2,2.0,1,1,2,1,1,0,45,225,2025,16,225,1,4.0,1.0,196.0,2025
73,,6,0,,1,1,2,0,2,2,1,3,4,4,4,12,,4,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,3,1,4,1.0,15.0,0.0,14.0,0,2,2.0,1,1,2,1,1,0,74,144,5476,16,225,1,4.0,1.0,196.0,5476
74,350000.0,6,1,3.0,0,1,1,0,2,2,0,3,3,3,3,16,,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,2,0,3,0.5,16.0,0.0,16.5,0,3,1.0,0,1,4,1,1,0,57,256,3249,9,256,1,1.0,0.25,272.25,3249
75,350000.0,6,1,3.0,0,1,1,0,2,2,0,3,3,3,3,10,0.0,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,2,0,3,0.5,16.0,0.0,16.5,0,3,1.0,0,1,4,1,1,0,17,100,289,9,256,1,1.0,0.25,272.25,289
76,350000.0,6,1,3.0,0,1,1,0,2,2,0,3,3,3,3,17,,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,0,1,2,0,3,0.5,16.0,0.0,16.5,0,3,1.0,0,1,4,1,1,0,40,289,1600,9,256,1,1.0,0.25,272.25,1600
77,270000.0,6,0,,1,1,2,0,1,1,1,2,3,3,3,14,,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,2,0,3,0.5,0.0,14.0,14.0,0,3,1.0,0,1,2,1,1,0,41,196,1681,9,0,1,1.0,0.25,196.0,1681
78,270000.0,6,0,,1,1,2,0,1,1,1,2,3,3,3,1,0.0,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,2,0,3,0.5,0.0,14.0,14.0,0,3,1.0,0,1,2,1,1,0,8,1,64,9,0,1,1.0,0.25,196.0,64
79,270000.0,6,0,,1,1,2,0,1,1,1,2,3,3,3,14,,3,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,2,0,3,0.5,0.0,14.0,14.0,0,3,1.0,0,1,2,1,1,0,44,196,1936,9,0,1,1.0,0.25,196.0,1936
80,300000.0,7,1,1.0,0,1,1,0,2,2,0,3,3,3,3,13,,3,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,3,0,3,0.0,0.0,13.0,14.333332999999998,0,4,0.75,0,1,3,1,1,0,60,169,3600,9,0,0,0.5625,0.0,205.44444,3600
81,300000.0,7,1,1.0,0,1,1,0,2,2,0,3,3,3,3,15,,3,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3,0.0,0.0,13.0,14.333332999999998,0,4,0.75,0,1,3,1,1,0,29,225,841,9,0,0,0.5625,0.0,205.44444,841
82,300000.0,7,1,1.0,0,1,1,0,2,2,0,3,3,3,3,15,,3,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,3,0,3,0.0,0.0,13.0,14.333332999999998,0,4,0.75,0,1,3,1,1,0,31,225,961,9,0,0,0.5625,0.0,205.44444,961
83,250000.0,5,0,,0,2,2,0,1,1,0,3,3,3,3,11,,3,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,3,2,3,2.0,6.0,0.0,9.333333,0,3,1.0,0,0,2,1,1,0,42,121,1764,9,36,0,1.0,4.0,87.11110699999999,1764
84,250000.0,5,0,,0,2,2,0,1,1,0,3,3,3,3,6,,3,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,3,2,3,2.0,6.0,0.0,9.333333,1,3,1.0,0,0,2,1,1,0,67,36,4489,9,36,0,1.0,4.0,87.11110699999999,4489
85,250000.0,5,0,,0,2,2,0,1,1,0,3,3,3,3,11,,3,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,3,2,3,2.0,6.0,0.0,9.333333,0,3,1.0,0,0,2,1,1,0,70,121,4900,9,36,0,1.0,4.0,87.11110699999999,4900
86,,4,0,,0,1,1,0,1,1,0,2,2,2,2,0,,2,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,2,1,2,1.0,0.0,0.0,6.5,0,2,1.0,1,0,1,1,1,0,89,0,7921,4,0,0,1.0,1.0,42.25,7921
